fonte,sentenca
AdoroCinema,"Alegria e Tristeza  A Pixar conseguiu, mais uma vez."
AdoroCinema,"Ao longo dos anos, o estúdio fez fama graças à capacidade de criar universos bastante criativos a partir de situações inusitadas."
AdoroCinema,"Assim foi com Toy Story (o mundo dos brinquedos), Procurando Nemo (a vida no aquário), Monstros S.A. (Boo como ameaça aos monstros) e outros tantos."
AdoroCinema,"Após um período de vacas magras, em que até fez sucesso mas sem a mesma originalidade, o estúdio retorna à sua melhor forma em Divertida Mente."
AdoroCinema,Nenhum outro filme exibido no Festival de Cannes foi tão aplaudido após a sessão quanto a animação.
AdoroCinema,"O que mais impressiona no longa-metragem é o brilhantismo do roteiro - escrito a seis mãos por Pete Docter, Meg Le Fauvee Josh Cooley, por um grande motivo: desta vez, os conceitos adotados pelo filme são totalmente abstratos."
AdoroCinema,"Afinal de contas, a história gira em torno da mente de uma garota, Riley, tendo como grandes protagonistas as cinco emoções responsáveis por conduzir sua vida: Alegria, Tristeza, Raiva, Medo e Nojinho."
AdoroCinema,"Cada emoção possui cor e temperamentos próprios, claramente infantilizados para facilitar a compreensão do público menor, mas ainda assim de uma profundidade impressionante."
AdoroCinema,"Ou seja, além de desenvolver a personalidade de cada uma delas, a Pixar ainda teve que buscar meios para tornar concreto e viável algo que não é palpável, usando para tanto muita criatividade."
AdoroCinema,"Na verdade, há muito de psicologia em Divertida Mente."
AdoroCinema,"Vários são os conceitos adaptados nesta grande alegoria emocional, como o porquê de se esquecer fatos antigos de sua vida, o que define sua personalidade, questões do inconsciente, a formação dos sonhos (em uma hilária associação!)"
AdoroCinema,e até mesmo depressão.
AdoroCinema,"Sim, depressão!"
AdoroCinema,"Por mais que o mal do século jamais seja citado nominalmente no longa-metragem, ele é claramente apresentado e explicado, dentro do contexto do filme."
AdoroCinema,"Mais ainda: Divertida Mente evita a vilanização da tristeza e oferece uma mensagem bastante importante sobre como lidar com ela em seu cotidiano, ao invés de afugentá-la a qualquer custo – o que, se for analisar mais à fundo, ainda por cima é uma crítica indireta à indústria de antidepressivos e remédios do tipo, que tentam retrair as emoções para que a vida seja mais “controlável”."
AdoroCinema,"Chorar, como o filme tão bem demonstra, às vezes é necessário – e Divertida Mente traz momentos em que realmente te leva às lágrimas."
AdoroCinema,"Por mais que todas as cinco emoções tenham momentos de brilho, o foco central fica na dupla Alegria e Tristeza, dubladas com maestria por Amy Poehlere Phyllis Smith, respectivamente."
AdoroCinema,"Aparentemente antagônicas, elas precisam se unir quando são acidentalmente expelidas da sala de controle e buscam, a todo custo, retornar ao local."
AdoroCinema,"É neste momento que a vida de Riley entra em parafuso, já que as três emoções restantes não conseguem manter a normalidade."
AdoroCinema,"Por outro lado, Alegria e Tristeza percorrem toda a estrutura do cérebro humano, revelando analogias impressionantes com a vida real."
AdoroCinema,"Divertida Mente é repleto de simbolismos muito bem sacados e, por mais que certas situações passem por um claro processo de infantilização, elas são muito menores em relação ao que o filme oferece."
AdoroCinema,"Provavelmente, este é um filme que será bem mais apreciado por adultos do que crianças, por mais que os pequenos também tenham condições de se divertir bastante."
AdoroCinema,"No mais, é só aproveitar as diversas situações que levam àquelas gargalhadas gostosas, não apenas pela piada bem feita mas também pela surpresa que traz e a inteligência com a qual foi concebida."
AdoroCinema,"Aqui vão alguns destaques: preste atenção nas capas de jornal que a Raiva volta e meia segura, elas sempre têm a ver com o momento de vida de Riley no melhor estilo de ser do personagem; a sequência de abertura, com o nascimento de Riley, não apenas dimensiona toda a estrutura das emoções como, conceitualmente, remete ao início de Up - Altas Aventuras (não por acaso, também dirigido por Pete Docter); repare nos detalhes das ilhas existentes, cada uma delas traz vários símbolos interessantes; se possível, veja em 3D: não propriamente devido ao uso da terceira dimensão, mas por uma brincadeira muito bem inserida relacionada às animações de antigamente; e aproveite as breves esquetes que surgem durante os créditos finais, simplesmente maravilhosas."
AdoroCinema,"Extremamente ousado, Divertida Mente é daqueles filmes que se assiste com gosto."
AdoroCinema,"Não apenas pelo entretenimento, mas também pelo tanto que lhe oferece em relação à criatividade, nostalgia, emoções e a própria vida."
AdoroCinema,"Um dos melhores filmes já feitos pela Pixar, sem sombra de dúvidas."
Omelete,"Filmes  Divertida Mente (Inside Out), nasceu de uma frustração."
Omelete,"A Pixar trabalhava em Newt, a história de duas salamandras raras que se odeiam, mas são a salvação da espécie."
Omelete,"O conceito era muito parecido com o de Rio(2011), que seguia a mesma trama, só que com ararinhas-azuis no lugar de anfíbios."
Omelete,"Foi quando Ed Catmull, presidente do estúdio, chamou Pete Docter e Jonas Rivera, o diretor e o produtor deUp - Altas Aventuras(2009), para salvar o projeto."
Omelete,"A dupla, porém, começou a brincar com outras ideias."
Omelete,"“E se personificássemos emoções?”, sugeriu Docter, pensando em compreender o que se passava com sua filha, uma criança feliz e ativa que começou a ficar introspectiva."
Omelete,"No filme, Riley é uma garotinha guiada pela Alegria (voz de Amy Poehlerno original e de Miá Mellono Brasil), que comanda o “quartel-general” da mente, catalogando acontecimentos, criando sonhos e coordenando outras emoções fundamentais: Tristeza (Phyllis Smith/Katiuscia Canoro), Medo (Bill Hader/Otaviano Costa), Nojo (Mindy Kaling/Dani Calabresa) e Raiva (Lewis Black/Léo Jaime)."
Omelete,"Quando a família se muda, os sentimentos de Riley entram em conflito e a Tristeza começa a tomar conta das suas memórias-centrais, os eventos que definem a sua personalidade."
Omelete,"Tudo isso é traduzido cuidadosamente em formas, cores e texturas."
Omelete,"As memórias especiais levam à grandes parques-temáticos, como a Terra da Amizade, a Terra da Família e a Terra do Hóquei."
Omelete,"Outras lembranças são guardadas em bolas de gude coloridas, que correm por canaletas de máquinas de pinball."
Omelete,"Uma acertada combinação de design e roteiro, que materializa conceitos como o subconsciente (uma grande caverna povoada por medos e outros fatos bem guardados), desejo (um mundo de nuvens e doces com uma fábrica de paixonites pré-adolescentes), sonhos (com uma produção de esquetes ao vivo), e até mesmo o esquecimento (um grande vazio que absorve as memórias, ou bolas de gude, que não são mais usadas)."
Omelete,Interior e exterior coexistem perfeitamente.
Omelete,Toda a confusão criada por Alegria e Tristeza - perdidas dentro da consciência enquanto as outras emoções tomam conta do centro de comando - reflete a crise existencial de Riley.
Omelete,"É como se dois filmes tratassem da mesma história com técnicas diferentes, arte realista e arte abstrata sob a mesma moldura."
Omelete,"Essa é a balança clássica da Pixar, com temas complexos em embalagens singelas, cujo equilíbrio resulta em personagens multifacetados e extremamente fofos (com destaque para o amigo imaginário Bing Bong)."
Omelete,Uma lição ensinada pelo Estúdio Ghibli e aprendida com louvor: a autoconsciência.
Omelete,Entender a si mesmo (suas qualidades e seus defeitos) para compreender o mundo que o cerca.
Omelete,Foi assim que a Pixar criou uma obra-prima como Divertida Mente em meio a crise que fez com que ficasse empacada em continuações e deixasse de lançar um filme em 2014.
Omelete,"Abrace o caos, desabafe e siga em frente."
PlanoCritico,Riley é uma menina de 11 anos que é retirada de sua vida no meio-oeste americano quando seu pai arruma um novo emprego em São Francisco.
PlanoCritico,"Como todos nós, ela é guiada pelas emoções – aqui representadas pelos divertidos personagens Alegria, Medo Raiva, Nojinho e Tristeza."
PlanoCritico,"Agora, esses sentimentos vão precisar se equilibrar para ajudar a garota a se adaptar à nova vida."
PlanoCritico,"Imagine que o consciente de cada pessoa seja povoado pelos mais diversos tipos de seres fantásticos, do Amigo Imaginário da infância aos eliminadores de memórias, responsáveis por abrir espaço no ‘HD’ interno de cada um para novas lembranças."
PlanoCritico,"Agora, partindo deste mesmo pressuposto, vamos visualizar que no comando deste universo particular existem cinco elementos mais poderosos, e cada uma das nossas ações seria resultado de uma discussão – e consequente concordância – entre eles."
PlanoCritico,"Estes componentes individuais que formam a personalidade de cada um atendem pelos nomes de Alegria, Tristeza, Medo, Nojo e Fúria."
PlanoCritico,"E ainda que existam personagens reais em cena, são estes cinco tipos alegóricos os verdadeiros protagonistas de Divertida Mente, uma produção Pixar que reflete bem esse atual momento da produtora, cada vez mais sob as asas da Disney."
PlanoCritico,"Riley é uma garota normal, como tantas outras."
PlanoCritico,"Filha única de um casal apaixonado, os três compõem uma verdadeira família de comercial de margarina, felizes até nos momentos mais difíceis."
PlanoCritico,"Quer dizer, estes parecem não aparecer com muita frequência."
PlanoCritico,"Pois quando a recessão se abate sobre eles e são obrigados a se mudarem da pacata e confortável cidadezinha do interior onde ela nasceu e cresceu para uma metrópole como São Francisco, repleta de casas monocromáticas, antigas e malcuidadas, os cinco serzinhos do subconsciente da nossa menina não sabem muito bem como devem se comportar."
PlanoCritico,"Nojo, como era de se esperar, acha aquele novo cenário deplorável."
PlanoCritico,"Medo teme o desconhecido e quer ficar distante de tudo e todos, ao passo que Fúria está pronto para puxar briga com qualquer um que lhe dirija um olhar torto na nova escola."
PlanoCritico,"Alegria seguirá se esforçando para encontrar um lado positivo nesta situação adversa, e enquanto todos se debatem, será a Tristeza que dará o primeiro passo."
PlanoCritico,"Há um exagerado tecnicismo envolvendo explicações de como funcionam as engrenagens emocionais de um ser humano, mas em resumo o que é preciso saber é que, no desespero da Alegria para que as coisas voltem a ser como eram antes, ela e a Tristeza acabam sendo jogadas para fora da sala da coordenação, deixando que os despreparados Nojo, Fúria e Medo tenham que lidar sozinhos dali em diante."
PlanoCritico,"Perdidas numa terra distante, Alegria e Tristeza precisarão se apoiar uma na outra para descobrir como voltar ao posto de origem e, enfim, reestabelecer a ordem das coisas."
PlanoCritico,"Neste ínterim, Riley briga com os pais e decide fugir de casa, acreditando que a solução para os seus problemas está na rodoviária, em um ônibus que a leve de volta para a antiga casa."
PlanoCritico,Como se tudo fosse tão simples assim.
PlanoCritico,"Com personagens fofinhos, carismáticos e muito coloridos – amarelo, verde, azul, vermelho e roxo identificam cada uma das emoções – os tipos que habitam nossa mente parecem ser delineados especificamente para os menores da audiência."
PlanoCritico,"Por outro lado, como explicá-los aos pequeninos?"
PlanoCritico,"A teoria que envolve suas existências e justificativas na trama são por demais adultas, exigindo uma maturidade que talvez careça na maior parte do público ao que o filme se dirige."
PlanoCritico,"Contribuindo para essa sensação, muito da trama se passa nesta realidade paralela e imaginária, com prateleiras gigantes, ilhas de lembranças básicas – amizades, família, etc."
PlanoCritico,"– e participações especiais que devem provocar um sorriso cândido nos adultos, porém sem possibilitar uma leitura mais profunda nas crianças."
PlanoCritico,"Divertida Mente é um dos filmes mais maduros e, ao mesmo tempo, mais infantis do estúdio."
PlanoCritico,"Dirigido por Pete Docter (vencedor do Oscar por Up: Altas Aventuras, 2009) e Ronaldo Del Carmen (veterano do departamento de arte, estreando como realizador), Divertida Mente cativa e emociona na medida certa, mas por mais que proponha ser uma viagem original e inesperada, trafega por sentimentos já conhecidos por qualquer apreciador dos trabalhos antigos da produtora, sem ousar em algo inédito ou surpreendente."
PlanoCritico,"É um filme bonito, bem humorado e familiar, que deve provocar a segurança necessária em seu público para reconhecê-lo como parte integrante de um cenário maior, mas que não se sustenta sozinho nas próprias pernas."
PlanoCritico,"O enredo resume-se a um fiapo de história, e a mensagem final, por mais singela que seja, acaba soando tão redundante quanto o velho ditado que afirma que é a “união que faz a força”."
PlanoCritico,"E sem ser deslumbrante suficiente para os pequenos e nem inteligente o bastante para os adultos, termina no meio do caminho, como um passatempo interessante, porém pouco marcante."
